Tag,HEAD_L_RMS,HEAD_R_RMS,CHEEK_L_RMS,CHEEK_R_RMS,EAR_L_RMS,EAR_R_RMS,BROW_RMS,NOSE_RMS
ANGER,36.29420307291076,29.658076204475012,13.670184155368752,13.187923874676137,13.601919201299802,24.808159839648482,19.231826592124953,36.75853157709446
BLINKS,33.44562499597535,39.81593360955427,9.56874855281306,9.055230983163954,8.65338556836309,34.174986508686096,27.500569040744164,22.94358552403409
CONTEMPT-L,18.06852159503312,17.55081950984544,16.19370328807705,17.095346544183084,16.29321996678665,18.292875868279907,17.82795511814588,36.410858409876155
CONTEMPT-R,15.16981345932485,13.225729905516067,16.074647703275165,7.812871221631681,9.704384157313413,13.790504863011497,12.272608737840452,34.43851356318883
DISGUST,35.38657239427731,29.87447874529375,18.647647461903347,16.126489793635148,17.296940454003746,42.48297906013545,21.977089306933717,130.3916324732358
FEAR,57.32874204649955,59.7206500243044,41.62312967232571,38.58718123427425,40.62904424260684,47.97545499181877,42.85809103865946,81.87293006941694
HAPPY,29.96310888222035,27.456599373539134,29.658888994302664,27.73540050400956,21.40000916943774,24.939316528572085,24.0276663829847,49.903614579158926
HEAD_DOWN,15.288997980931105,14.551430601986567,12.189843389100714,9.8637543769557,11.956889663316135,16.65022126081912,13.174638419789545,27.181794005572005
HEAD_UP,20.0492511833518,29.824225623954902,14.874251687516463,12.49514048300947,13.228290536770379,17.863575812637272,14.48162906863056,37.97932986355293
JAW_CLENCH,19.138406978319356,19.919501643507687,16.381653896427217,14.907559068597358,35.26032089496044,19.10201363411245,17.319479955888585,29.81477641894754
NEUTRAL,11.846227608013214,10.14445753908129,9.153540038519461,6.872927922987681,9.40787990383088,9.618333268088241,8.744673783918833,30.903120325049315
SADNESS,48.58348531194161,46.77138548753964,28.68123755378296,22.490191084728124,18.07816306221897,43.276421565139145,31.342951039877715,63.61156134841821
SURPRISE,46.89013127884749,39.86609357912909,41.08708678802706,37.39433133585567,31.512171971089415,45.01543612070956,37.04690197370939,78.83321235513337
wANGER,31.642631291446122,69.57517176762177,14.464084008890042,13.349382001356261,14.970236455925855,34.141310539261646,14.291351154400745,25.59205532119468
wCONTEMPT-L,15.585236873625577,15.867577495323111,14.510262746694751,12.379018647170794,11.504865977628441,19.652458602293894,14.025674039775659,12.611089556174703
wCONTEMPT-R,23.401507273933404,51.66382651890043,20.968541310212,18.380072386684216,18.95514857157998,22.418328096132722,21.5729465368518,19.06483078963134
wDISGUST,16.94657268823637,17.91221791709184,11.575912474240186,9.401406728137625,24.756736586719644,17.47923771645789,14.506318920942833,18.36867324394586
wHAPPY,17.436053348124947,18.000599084765373,13.62305749132071,9.033730730447342,15.16715427625305,16.867920197688473,13.890489611559062,10.665096708064292
wNEUTRAL,9.114185197002184,17.096725963969615,10.755277545507125,7.507215879695219,11.013688432048275,9.238244233818447,7.83384627325864,8.429413146295786
wSADNESS,47.93207252366096,89.7009589483324,38.26255551190412,34.71535019823982,25.73656415995463,43.76230140277784,43.13605938961143,37.168691886383094
wSURPRISE,23.539537934320794,22.325813714327452,20.21345136143135,20.646003676153665,24.854631246168566,23.069295511113115,21.03750692963155,21.15180056261126
